initial_state_id,path
0,-f1.d2.f2.-f0.d2.f0.-f2.-d2.f1.-d2.-f0.f2.d2.f0.-f2.d2
1,d1.-r1.-d1.-r2.d1.r1.-d1.r2
2,-f2.-d2.f2.-f0.d2.d2.-f2.f0.-d2.f2.-f0.d2.d2.f0
3,d0
4,-r2.d0
5,r2.-f1.-r2
6,f1.-d2.-d0.-r2
7,f2.-d1.f2.-f0.-r2
8,f0.-r0.d1.-r2.d1.f0
9,-r0.d2.f2.-r1.-r2.r0.-d1
10,r1.-f1.-r1.f1.-f2.-d1
11,f2.-f1.-d2.f0.r0.-r1.-r1.f2.-d0
12,-f0.-r1.d0.f1.d0.-f2.-d0.f2.-d2.-r2
13,-r0.f2.-d1.f2.d0.-d1.-d1.-f1.r0.r1.-f1
14,-f2.-r1.r2.r2.f2.-d0.f1.-f0
15,r0.-d1.f1.f1.-r0.-r0.-d1.f2.r2.-d1.-f0.-f1.r2
16,d1.r2.-d1.f1.-f0.-r2.f0.r1.-f0.-r0.-f2.d1.f2.-d0
17,d2.r0.-d2.d1.f0.-d0.-r1.-r0.d0.r0.-d1.f0.d0.-f2.-f0
18,d0.d0.f1.f0.r2.f0.d1.d0.-f0.-r1
19,-f0.-f0.d0.-r2.-f2.-d1.-f1.f2.-f1.d1.r2.-d0.-d1.f2.f0
20,r0.r1.-d0.d2.r0.-d2.f0.d1.r2.d0.f1.-d0.d1.-d0
21,-r1.r0.d1.f0.f0.d0.-d2.-r0.-r0.f1.f0.d1.f1.d0.r0.r2.f2
22,d0.d1.-r1.d0.-f1.-d2.-r2.-d2.r0.d0.-f1.f0.r0.-f2
23,f1.d1.-f0.-d2.f1.r1.-r2.-f1.-d1.d0.r0.-f1.r1.-r0.-r0
24,f0.-d1.-r0.-f2.-r1.-r1.f2.r2.-d1.d2.f2.d0.f0.d1.-r0.-r0.-d2.-d0
25,d2.f2.r2.r2.-f1.-r2.-d2.f0.-r0.f2.-d0.d1.-d0.-f0.d1
26,f1.d0.-d2.-r0.r2.-f1.f2.-r1.-d2.-f0.-d1.d2.-r2.d2.-f0.d2.-f2.-d2.f2.f0.-r2.-r0
27,-r0.d0.f0.f0.r2.-f0.-r1.f1.-d0.f0.-d0.r1.r1.f1.-r0.d1.r0.-d1.r0.r0.-f1.-r1.-d0
28,r1.d2.-f0.-d2.d0.-f0.-d1.-r0.-f0.-r0.f1.r2.f2.-f0.-d1.r0.-r2.-d0.d2.f2.-f0.r0
29,-r0.-d0.-f0.-r1.d2.-r2.-d2.-r0.-d2.-r0.-d1.-d1.-r2.f2.-d0.r0.-r1.-f1.d1.f1.d0
30,-f0.-f0.-r2.-f2.d0.f2.d0.-r1.d2.-r2.-r1.f2.-d1.d0.r2.-d2.-f1.d0.-f2.d2.f2.-d0
31,-d0.-f2.d2.d2.f2.-r0.-d0.-d0.-f0.-r2.-d1.r0.f0.-r2.-f0.r1.-f2.-r1.d2.f1.-r0.-d0.f0
32,r1.f1.r0.f2.r1.-d0.r1.d2.-f0.d1.r2.f1.r2.f1.d2.f0.f0.d1.-f0.-d2.-f0.-d1
33,-d0.f2.-r0.-d2.-f0.-r2.-d0.-r2.-d1.-r0.-d0.r2.-f1.-r1.-f0.d1.-f1.d1.-r2.-r1.-d1.r2.f2
34,-d0.f1.d0.-f2.f1.d0.f0.-r0.d2.-f1.d2.d2.f0.d0.-f2.-d0.f0.d0.r1.-r2.-d0.-d0
35,-d0.-r2.-f2.d2.-d1.-f2.-f0.r2.d1.r2.d2.-r2.d1.-f0.r1.-f2.d1.f2.r1.-f1.r1.f1.r2
36,f0.-d2.d1.f2.d1.-f1.d0.r0.-f0.d2.f2.f2.d2.f0.d1.r0.-d1.f0.-r0.f1.r2.-f0
37,f1.f1.d2.-r2.-f0.f1.d0.r2.-d0.-f1.r0.-f0.f1.d0.f1.-r0.-f1.d1.-r2.d2.-r0.f0.r0
38,-r2.-f2.d2.f1.-d2.f0.-r1.-d0.r1.-f2.-r0.d0.d1.f0.r2.r2.-d0.f2.-r1.d2.-r0.-f1
39,d1.-r1.-f0.r1.-r2.f0.r2.f2.-r0.-d0.f1.-d1.-f0.d0.-f2.d1.f1.r2.d1.d1.f0
40,-r2.f0.d0.d0.r1.-d1.f0.r2.r1.-f1.r1.-d1.-f1.-r0.-f0.d2.-r0.-d0.r2.f1.d2.d2
41,f1.r1.-f2.-d0.-d2.-f1.r2.-f1.-r0.-d0.d2.r2.f0.r2.f0.f0.-r2.f2.-r1.d0.r1.-f2.-d1
42,f0.-r0.-d0.-r0.d0.-f0.d0.-f0.-r0.-d1.-f2.-d1.-f1.r1.-d0.f0.r0.-d1.r2.r1.-f1.-r2
43,-d0.r2.-f1.-r1.-d2.-r1.d2.-r2.f0.d2.-r2.f1.-r2.-r2.d2.r0.d2.-r2.f0.d2.-f0.r0.r2
44,d2.f1.-d2.-r0.f0.-d2.f2.d0.f1.-r2.-r2.-f0.r2.-d1.-r2.-d1.f1.d0.-r2.-d0.d1.d1
45,-d1.f2.-r2.f0.-d2.-r0.-d2.r1.-d1.-r0.-d2.r0.-r2.-f2.r1.-f2.-r1.f2.-d0.f2.r2.d2.f0
46,f2.-f0.r2.-f0.-d2.d1.-r1.-r1.-d2.f1.-d0.-r0.-f2.-d1.-r0.d1.r0.r0.-f1.-d1.-f1.f0
47,d0.r1.-r2.d0.-f2.-r1.d1.r0.r0.f0.d0.-f1.r1.f0.r2.d1.-r2.d0.-r1.d1.r1.-f1.-f0
48,f2.-r0.-f2.d0.d0.f0.-r1.-d1.f2.-d2.f2.d2.f2.f2.-d2.-f2.-f1.r2.f1.-d0.-r0.d0.-f1.r2
49,f1.r2.-f1.d0.-d1.-r1.-f0.-r2.-r2.f2.-d1.r2.d0.-r2.-f1.-d2.r1.f1.r2.-d1.f2.d0.d0
50,-f0.-f0.-d2.d1.-r0.-f1.d1.-r0.-d1.-f2.d0.-f1.-d1.-f1.-d2.r0.-d1.r1.-d2.-f0.-r0.f1
51,-r1.f1.r0.f0.-r0.d0.d1.-f2.r0.d2.f2.r2.d1.-r2.-f1.f2.-r2.f1.d2.r2.-d2.-d2.r2
52,f0.d2.-d1.r0.d0.f2.f2.-d2.f1.-r0.-d0.f1.-d1.-f0.-d2.-d0.r1.-f0.f2.-r1.-f2.d2
53,-f1.r1.-f0.f2.d0.-r2.f1.-r2.-f2.r2.-d0.-f2.r0.f1.r2.-f1.-f2.d2.-f1.-d2.d1.r1.-d1
54,d1.r1.f2.d0.-d1.f2.r2.f0.d2.-r0.-r0.-d1.-r2.-f2.r2.-f0.-f0.-r0.r2.f1.-r1.r0
55,-r0.-f2.-r0.d0.d0.r0.d1.f2.r1.-d2.r1.d1.f1.-r0.r1.-f0.-r2.f0.r0.-r1.d2
56,-r0.f1.-d0.f0.-r0.f1.-d0.-d0.-f0.-d1.f2.d2.-r1.d2.r1.r0.-f0.-d2.f0.f1.f0.-r2.-d1.f0
57,d2.-r2.f2.d0.f0.r1.-f0.-d2.-r2.d0.r1.-d0.f2.-r2.f2.-r2.d0.-f2.-d0.r2.d0.f2.d0
58,-f2.r2.-f0.d1.-f0.f1.-d0.-r1.-f2.r0.f2.-d2.-f0.f1.d0.f1.-d0.r0.f2.-f1.d1.-f2
59,d2.r1.-f1.-r0.d2.r1.-d1.-r0.-f0.r2.d0.-r0.-d1.d2.f0.r0.-f0.-d2.-r0.f0.r0.-f0.d2
60,r1.d2.-d1.-r1.-r1.-f1.-r2.f2.-r2.-f2.r0.f0.r1.-f2.f1.d1.-f1.r2.d0.f1.-d1.f2
61,-f0.-d0.f1.r1.-d0.-f0.r0.f0.-r1.f0.-d2.-f1.d0.-r1.-d1.f0.r1.-d1.-r1.-f2.f1.r1.f1
62,-r0.-d2.-f0.f1.-d0.r1.-d2.-r0.d0.-f2.d2.r1.-d2.r0.-r2.-d0.f0.-d1.r0.d2.f0.f1
63,d1.r2.-d0.r0.-f1.-r2.-d0.d1.-r1.-f1.r0.d2.f2.r1.-f0.-r2.-f0.-d1.-r0.-r1.-f1.d1.r1
64,r0.-f2.-d1.r2.-f2.d1.-f1.-d0.f0.r0.d2.-f0.f1.d2.-r2.d1.-f2.r2.r0.-f1.r0.-f2
65,r0.d2.-f0.r1.d0.r0.-r2.-d2.-f2.r1.-f1.-d2.f1.d0.f0.-f2.d1.-f1.-f1.r0.f1.-r0.-d0
66,r0.d0.r2.d2.-r0.d2.-f1.r0.d2.-r0.r2.-f0.d1.-f0.d1.f0.-r1.-f2.-r1.f2.-r0.-d0.r0.f0
67,r1.-d1.r1.-d0.-f2.d2.-f0.-d0.r2.d1.-r0.-f0.f2.-r0.-d0.r0.-d1.-f2.r2.f2.r2.d1.-f2
68,f2.d0.-r0.-d1.-f1.d2.f1.f2.d1.r2.d0.-r0.-f0.d1.-r1.f0.-d2.r1.d2.-f0.-r2.-f0.-r0.f0
69,-r1.-d0.-f2.d2.f2.-r1.-d2.f1.-f2.-r2.d2.-r0.-d0.-f2.-d0.-f1.-d1.f2.r0.r1.-d2.f2.f0
70,d0.-f1.f0.r0.-d0.-r1.-f2.-d1.f2.d2.f0.d1.-f2.-d0.-f0.f2.r2.r2.-f2.-r2.f0.-d0.f0.-d0
71,-r1.-d2.-r0.f2.-d0.-f0.r0.f2.-f1.r0.-r1.d2.d2.-f2.d1.-r0.-r1.f0.-d0.-f1.-d0.-f1.d0
72,f0.d0.f1.r1.f0.r0.-d0.r1.-f1.r0.-f2.r2.-f0.-d2.-r0.-d0.-r2.d1.r2.d0.d0.-r0
73,f0.r2.-d0.-f0.r1.-f0.-f0.r2.d0.-f1.r0.-d0.r2.-d1.-f2.r0.f2.d0.-r1.d2.-r1.-d1.-f0
74,-f1.r1.r1.-d2.-f0.d0.r2.-d0.r2.d0.-r0.-f1.-d2.r1.-d1.f2.f2.-d0.-f2.-f0.d2.-r0
75,f1.r2.-d2.r0.-d0.-f0.r2.f0.-d0.f0.-d0.-f1.r2.-f1.d0.r2.r2.f2.-d0.-d0.r2
76,-d2.f2.-r0.-d0.r2.d1.-f2.-d2.r0.d0.f2.r1.d2.r2.d1.-d0.-f2.r0.f2.-d1.f2.-r0
77,f1.-d2.-f0.r0.d1.-f1.-d0.-r2.f2.d2.-r1.-f0.d2.r0.-d1.r0.f1.-r0.-f1.-d0.-f2.r0.d2
78,-f1.-d2.r2.-f0.r1.-f0.d0.-f0.-r2.d1.-r0.-d0.r0.f2.-r2.-f2.-r1.-f1.r0.d0.r2.-f1.-r2.-d0
79,f0.-d0.r2.f1.-d0.r0.d0.r1.-f0.-r0.-r0.d1.-r2.f1.r0.-d2.f0.-d2.-r0.-f1.r0.-d2.-d1
80,-d2.r0.d2.f1.r1.-f1.r2.r2.f0.-r0.-d1.d2.r0.-f2.-r2.f2.d2.d2.-d1.-f2.-d0.f2
81,d0.-r2.d2.f0.d2.-f2.r0.-d1.f1.-r1.-r1.d2.-r0.r2.-d0.-f0.-d2.-f1.-d1.-r1.f2.f0.f0
82,d2.f0.-r0.-f2.-r1.-d0.f1.-d1.f0.r2.-d1.-f1.-d0.-r0.d2.d2.f2.r2.-d1.-d1.-r0.-d1
83,-f1.r2.-f2.r0.d2.-f1.-d0.f0.-d2.d0.f1.d1.-r1.-d1.f1.r2.-d0.-d1.-r2.f2.r0.r1.-d1
